for,986,1127
movi,21797,27800
get,6430,7609
respect,490,364
sure,1409,1638
lot,2457,2267
memor,484,212
quot,154,130
list,316,404
gem,317,95
imagin,732,738
joe,387,295
piscopo,14,3
actual,2155,2881
funni,1873,2199
maureen,38,11
stapleton,10,6
scene,4816,5417
stealer,11,0
the,22905,22924
moroni,9,2
charact,6869,6936
absolut,799,1039
scream,220,451
watch,6388,7241
alan,216,130
skipper,9,2
hale,27,9
jr,13,8
polic,572,508
sgt,31,21
bizarr,229,293
horror,1412,2026
fill,425,431
famou,474,277
face,1094,976
stolen,85,100
cristina,18,17
rain,215,93
later,1276,844
tv,74,85
flamingo,7,1
road,235,211
pretti,1540,2099
somewhat,551,407
unstabl,24,23
model,176,204
gummi,5,2
smile,279,167
slate,21,11
pay,371,513
attempt,663,1254
suicid,169,158
guard,121,131
gateway,10,2
hell,415,672
well,5857,3885
captur,580,258
mood,239,198
music,2411,1669
perfect,1330,368
deborah,13,23
raffin,4,1
charm,631,308
pal,66,48
move,1443,891
creepi,334,311
brooklyn,79,22
height,95,53
brownston,14,0
inhabit,97,78
blind,165,142
priest,77,175
top,903,680
floor,131,176
thing,3437,4587
realli,5450,6214
start,1822,2268
cook,155,81
neighbor,141,90
includ,1150,826
fantast,669,155
wick,75,50
burgess,25,15
meredith,23,23
kinki,13,21
coupl,889,973
sylvia,26,18
mile,189,182
beverli,33,40
dangelo,14,6
diabol,14,28
eli,25,41
wallach,17,14
great,6356,2642
fun,1591,956
wili,10,3
detect,314,216
nearli,405,402
crosspollin,1,2
rosemari,53,20
babi,368,362
combin,376,243
base,820,741
bestsel,17,15
jeffrey,57,49
konvitz,6,0
sentinel,60,16
entertainingli,4,3
spooki,72,52
full,914,722
shock,455,477
brought,458,278
director,2195,2516
michael,810,513
winner,171,79
mount,31,36
thought,1762,1861
downbeat,23,15
end,4429,4755
skill,289,248
solid,363,139
unremark,7,25
film,24398,21901
matthau,144,7
einstein,54,10
wonder,2280,1308
My,1147,942
favorit,1100,295
part,2670,2424
would,5289,6846
make,6672,7845
go,3952,4750
way,4357,4100
see,7287,6536
physicist,7,4
play,4993,3546
love,5961,2762
sweater,6,7
convers,184,167
wait,626,740
robbin,37,47
retriev,41,24
birdi,10,4
it,3454,3319
strang,574,517
feel,2805,2366
sit,463,775
alon,484,517
theater,444,575
occupi,57,30
parent,509,369
rollick,10,0
kid,1342,1693
felt,687,828
like,10138,12001
instead,698,1434
ticket,85,84
given,864,971
br,27533,29608
upon,434,394
thoma,129,101
rockwel,17,5
book,1346,1436
how,434,846
To,705,828
eat,230,329
fri,49,43
worm,57,32
children,802,662
stori,7201,5449
new,2444,1831
town,719,533
fifth,29,32
grader,6,22
billi,225,169
forrest,27,25
popular,377,248
anew,5,1
friend,1737,1370
never,3198,3227
easi,510,260
especi,1513,922
prospect,29,23
adam,228,174
Or,205,376
erica,9,12
feet,108,120
further,27,30
complic,176,90
bulli,95,57
hi,891,557
freckl,3,1
sleeveless,2,2
shirt,43,66
daunt,5,4
He,2680,1962
antagon,6,4
death,1005,992
ring,315,194
crackerjack,4,1
rumor,43,33
kill,1423,2189
your,892,1264
punch,130,137
but,3662,3667
immedi,297,238
No,583,998
unleash,40,43
poison,74,57
eight,99,85
gradebr,2,4
axi,8,4
evil,647,776
welcom,155,96
smuggl,29,16
hand,927,1013
slimi,46,24
onc,228,182
discov,528,311
cool,470,475
swear,58,117
time,7882,7192
then,469,916
throw,236,483
ewww,2,1
win,576,341
reluctantli,26,19
bet,134,147
boil,36,46
marin,72,36
hot,294,349
sauc,4,6
squash,2,9
spread,74,61
peanut,13,11
butter,6,11
sandwich,18,15
each,121,63
meal,30,30
dub,205,249
exot,50,55
name,1315,1483
radioact,23,9
slime,6,10
delight,461,90
final,1691,1414
live,2582,1668
dream,687,399
microwav,1,10
organismbr,1,2
If,2296,2999
youv,347,364
ever,2636,3178
met,172,114
youll,644,629
know,3539,3828
uncontrol,13,15
hearti,11,11
laugh,1218,1550
creep,71,82
erupt,26,14
toddler,15,13
whine,27,65
dilli,6,0
dick,187,106
hurt,221,277
disgust,98,244
grate,77,75
farrelli,20,6
brother,947,639
vomit,11,58
delightfulbr,4,0
writerdirector,85,86
bob,154,121
dolman,2,3
also,5506,3567
savvi,13,8
storytel,137,95
rais,272,222
stake,43,33
must,1590,1463
consum,54,45
pm,5,5
In,3098,2782
addit,280,219
hold,591,447
dark,887,637
secret,402,307
stomachbr,3,6
keen,51,18
sens,1049,1284
perspect,194,98
with,676,516
accuraci,46,34
draw,268,196
insecur,39,20
tendenc,40,37
exagger,91,93
mundan,39,51
hyperbol,7,8
quandari,2,5
essenti,235,184
war,1369,799
freedomfight,2,1
use,2479,2566
pubesc,1,6
boy,1158,866
pawn,31,3
proxi,4,3
learn,813,549
valuabl,43,53
lesson,226,172
uniti,14,5
intern,203,158
leader,172,127
two,3605,3043
global,57,55
At,732,841
comfort,179,75
chaperon,2,2
mother,887,622
behind,611,625
look,4040,5655
befuddl,8,9
agre,373,397
that,2389,3336
wont,635,659
regist,30,51
law,250,225
databas,5,6
you,1442,1471
probabl,1407,1450
alreadi,612,746
episod,1637,910
air,401,368
view,1268,803
ive,1540,1804
televis,510,373
year,3738,2532
possibl,809,1042
show,5462,4165
crime,491,325
beauti,2392,821
written,695,756
act,3322,5114
cancel,83,69
actor,3109,3456
laura,85,76
whit,8,9
carlo,40,28
mae,24,25
damian,8,4
anya,2,1
omg,6,12
steven,144,185
incred,663,517
natur,935,521
role,2561,1563
even,5050,7702
So,1080,1502
sad,566,496
gone,365,361
Of,734,554
cours,1339,1131
reason,1161,1944
there,3313,4742
ill,519,717
let,1157,1602
believ,1837,1985
Ms,166,169
moynahan,6,6
pregnanc,15,13
anyth,1057,1835
It,6338,5736
slot,18,14
market,145,176
hope,1171,1324
come,3351,3272
dvd,1299,982
day,2074,1548
thank,658,452
read,1216,1479
saw,1683,1467
grown,117,96
although,1481,1009
clever,299,245
shrek,22,18
rather,1335,1391
good,7506,7254
theatr,146,201
surround,217,171
spring,103,54
break,510,500
sound,913,1246
seem,3145,4045
engag,307,251
appar,401,810
appropri,187,114
gasp,25,43
comment,780,872
peopl,4464,4760
realiz,696,609
made,3648,4342
As,1782,1516
success,775,521
person,1749,1431
scrat,14,0
imdbbr,8,8
hefti,9,8
vote,186,186
favourit,292,81
filmsbr,62,55
someth,2082,2849
enjoy,2802,1464
doingbr,11,12
and,3224,3829
fifti,73,54
second,1051,1144
one,13706,12962
world,2377,1353
anoth,2042,2233
beginsbr,10,8
ten,364,436
give,2975,2785
seven,187,140
exactli,475,516
could,3163,4550
first,4621,4237
better,2322,3236
record,328,227
long,1621,1636
still,3328,2272
open,1008,997
shot,1263,1614
showmanship,4,2
superb,545,99
innov,85,64
perfectli,473,145
suit,263,272
